1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
143	-0.757581	369.458876	0.004806	17.1
144	-1.131769	368.553338	0.011588	22.2
145	-0.799644	367.653696	0.006490	18.5
146	-0.640271	366.759885	0.005838	17.2
147	-0.343897	365.871846	0.010342	18.5
148	-0.134519	364.989518	0.002612	26.8
149	-0.761626	364.112841	0.003888	16.5
150	-0.033151	363.241757	0.002246	17.4
151	-0.702140	362.376208	0.004990	18.4
152	-0.242453	361.516137	0.003410	22.4
153	-0.841820	360.661488	0.015767	19.9
154	-0.184134	359.812206	0.007491	23.2
155	-0.549220	358.968236	0.013517	18.2
156	-0.236688	358.129524	0.006073	17.9
157	-0.344303	357.296018	0.005813	18.0
158	-0.855609	356.467665	0.004468	19.7
159	-0.413062	355.644414	0.003823	19.6
160	-0.418066	354.826213	0.005421	24.6
161	-0.916195	354.013012	0.010567	19.3
162	-0.733222	353.204763	0.005867	19.8
163	-0.322877	352.401415	0.008225	18.4
164	-1.091583	351.602922	0.014549	16.2
165	-0.928704	350.809235	0.008329	18.9
166	-0.552727	350.020308	0.004100	25.4
167	-0.321537	349.236095	0.004332	20.7
168	-1.084087	348.456550	0.009598	16.5
169	-0.855467	347.681627	0.004984	18.9
170	-0.854687	346.911283	0.007765	19.5
171	-0.825548	346.145474	0.013026	17.3
172	-1.206570	345.384157	0.013516	17.5
173	-1.037884	344.627288	0.013163	26.3
174	-0.416882	343.874826	0.005632	17.7
175	-0.215997	343.126729	0.002593	17.5
176	-1.077025	342.382957	0.010133	19.0
177	-1.004804	341.643469	0.005579	19.2
178	-0.674863	340.908224	0.006734	17.9
179	-0.784786	340.177184	0.008996	21.1
180	-1.003053	339.450309	0.010663	20.4
181	-0.372585	338.727561	0.006531	18.6
182	-1.049610	338.008902	0.006717	17.7
183	-0.842052	337.294295	0.005735	18.4
184	-0.367362	336.583703	0.004168	16.3
185	-1.023819	335.877089	0.014843	17.4
186	-0.202427	335.174416	0.002806	18.2
187	-0.005856	334.475651	0.001699	31.3
188	-0.675661	333.780756	0.005553	23.2
189	-0.687424	333.089698	0.004296	19.1
190	-0.101521	332.402443	0.003102	17.8
191	-0.588086	331.718955	0.005252	22.2
192	-0.709741	331.039203	0.007810	19.4
193	-0.897302	330.363153	0.018525	22.9
194	-0.431843	329.690771	0.006607	15.9
195	-0.643840	329.022027	0.004031	35.4
196	-0.754614	328.356888	0.004470	27.7
197	-0.007304	327.695322	0.000790	25.2
198	-0.698117	327.037299	0.003163	24.1
199	-0.122315	326.382787	0.003132	21.6
200	-0.009450	325.731758	0.000318	23.7
201	-0.154505	325.084179	0.003010	19.3
202	-0.879572	324.440023	0.005473	19.2
203	-0.755069	323.799258	0.005381	23.4
204	-1.128321	323.161858	0.016530	16.0
205	-0.056046	322.527792	0.001875	17.2
206	-0.788572	321.897034	0.005844	16.7
207	-0.000008	321.269554	0.000005	18.0
208	-0.884997	320.645325	0.005142	17.1
209	-0.809798	320.024320	0.004534	17.5
210	-0.804484	319.406512	0.005379	22.2
211	-0.827353	318.791875	0.005096	18.7
212	-0.000463	318.180381	0.000079	16.9
213	-0.732785	317.572005	0.012131	19.0
214	-1.061068	316.966721	0.009248	18.4
215	-0.705625	316.364504	0.012783	20.0
216	-0.942229	315.765329	0.008464	26.6
217	-0.636726	315.169170	0.007751	16.3
218	-0.727029	314.576003	0.006655	18.5
219	-0.911515	313.985804	0.004679	19.2
220	-0.551534	313.398548	0.006532	17.3
221	-0.673290	312.814213	0.003310	16.3
222	-0.682850	312.232773	0.005288	20.2
223	-0.699846	311.654207	0.004392	20.4
224	-0.702747	311.078491	0.007944	17.7
225	-0.109203	310.505602	0.002798	18.2
226	-0.009589	309.935518	0.006231	19.2
227	-1.015781	309.368217	0.015093	17.0
228	-0.263498	308.803676	0.009104	17.0
229	-0.182242	308.241874	0.006065	23.4
230	-0.397706	307.682789	0.005016	20.8
231	-0.620070	307.126400	0.006540	17.3
232	-0.840831	306.572687	0.006199	18.0
233	-0.000000	306.021627	0.000000	19.4
234	-0.870608	305.473201	0.007700	17.4
235	-0.698457	304.927388	0.004513	25.0
236	-0.304395	304.384168	0.005354	16.9
237	-0.000019	303.843521	0.000007	18.6
238	-0.021680	303.305427	0.000583	19.0
239	-0.479657	302.769867	0.007490	17.4
240	-0.856584	302.236821	0.007500	17.5
241	-0.875179	301.706270	0.004940	17.8
242	-0.622107	301.178196	0.004361	25.0
243	-0.182741	300.652580	0.004422	15.6
244	-1.230126	300.129402	0.020443	18.9
245	-0.905330	299.608645	0.006149	18.7
246	-0.188311	299.090291	0.004168	20.4
247	-0.694050	298.574321	0.004439	18.2
248	-0.145208	298.060718	0.003649	27.2
249	-0.676229	297.549465	0.003465	18.8
