1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.557925	627.201626	0.005342	2113.5
1	-0.464845	623.504937	0.007869	8.7
2	-0.711578	619.865785	0.009474	7.7
3	-0.628952	616.282728	0.008244	7.9
4	-1.212251	612.754375	0.016674	11.9
5	-1.087304	609.279381	0.007809	8.6
6	-0.171021	605.856447	0.005639	8.4
7	-1.170787	602.484317	0.031483	7.7
8	-0.655794	599.161779	0.010878	8.4
9	-0.787025	595.887656	0.005113	9.7
10	-1.071198	592.660813	0.014309	8.3
11	-0.698664	589.480151	0.007927	8.3
12	-0.003598	586.344606	0.000195	7.8
13	-1.247757	583.253145	0.016623	8.3
14	-0.928513	580.204771	0.015021	10.1
15	-0.655643	577.198517	0.009434	8.5
16	-0.739380	574.233444	0.010526	8.0
17	-0.706495	571.308645	0.012343	8.3
18	-0.558755	568.423237	0.007015	13.5
19	-0.744953	565.576365	0.012137	11.0
20	-0.654670	562.767201	0.017386	8.3
21	-0.752113	559.994938	0.005733	10.1
22	-0.014126	557.258797	0.000738	11.0
23	-0.865118	554.558018	0.003726	8.6
24	-0.383931	551.891865	0.006972	7.8
25	-0.781620	549.259621	0.010261	7.8
26	-0.751182	546.660592	0.009352	8.3
27	-0.490800	544.094102	0.006281	9.5
28	-0.992930	541.559494	0.015242	9.7
29	-0.160084	539.056129	0.002747	7.7
30	-1.426668	536.583387	0.018159	8.5
31	-0.736868	534.140663	0.013185	8.6
32	-0.479170	531.727370	0.010227	10.6
33	-0.382411	529.342935	0.008011	7.7
34	-0.618267	526.986802	0.005779	7.7
35	-0.831698	524.658430	0.004060	7.7
36	-0.896633	522.357290	0.017022	10.6
37	-0.576249	520.082868	0.011673	8.5
38	-0.762300	517.834665	0.010423	7.8
39	-0.232834	515.612193	0.002693	8.5
40	-0.438888	513.414976	0.008210	7.6
41	-0.650580	511.242551	0.008395	10.0
42	-0.483980	509.094468	0.018537	7.6
43	-0.779602	506.970285	0.011428	8.7
44	-1.046234	504.869574	0.009227	7.9
45	-0.116365	502.791916	0.004548	7.9
46	-0.621096	500.736903	0.005403	11.0
47	-0.305216	498.704137	0.005240	7.7
48	-0.710961	496.693228	0.005664	8.3
49	-0.629678	494.703798	0.011535	8.5
50	-0.961016	492.735476	0.014377	9.2
51	-0.154339	490.787900	0.008074	11.0
52	-0.231417	488.860718	0.005293	7.8
53	-0.801290	486.953585	0.006267	8.7
54	-0.423258	485.066164	0.004566	8.4
55	-0.759804	483.198126	0.008168	10.4
56	-0.607088	481.349149	0.004807	8.3
57	-0.121345	479.518920	0.003628	7.7
58	-0.797430	477.707132	0.009232	7.8
59	-0.722661	475.913485	0.007364	7.7
60	-0.943530	474.137684	0.010664	9.8
61	-0.115434	472.379445	0.003778	8.3
62	-0.713839	470.638485	0.014517	8.4
63	-0.659293	468.914531	0.004294	7.6
64	-0.460335	467.207315	0.004716	8.4
65	-0.681868	465.516573	0.008070	9.3
66	-0.666981	463.842050	0.009069	8.6
67	-0.080309	462.183494	0.002335	7.6
68	-0.629319	460.540658	0.009218	8.4
69	-0.832702	458.913303	0.009574	7.7
70	-0.838157	457.301192	0.008503	9.6
71	-0.669534	455.704096	0.003288	8.6
72	-1.239918	454.121787	0.026822	7.9
73	-0.028561	452.554045	0.002048	8.5
74	-0.320920	451.000653	0.007129	7.7
75	-0.827033	449.461399	0.006999	9.9
76	-0.396767	447.936075	0.004804	8.1
77	-0.265988	446.424477	0.010115	11.9
78	-0.326678	444.926406	0.005100	10.3
79	-0.755589	443.441666	0.011691	11.7
80	-0.601366	441.970065	0.008189	8.0
81	-0.493674	440.511415	0.009992	7.9
82	-0.834066	439.065533	0.006995	7.8
83	-0.601227	437.632238	0.009526	7.7
84	-0.514655	436.211351	0.005687	10.5
85	-0.471607	434.802701	0.006716	10.1
86	-0.861282	433.406117	0.010464	7.8
87	-0.832525	432.021430	0.003884	9.2
88	-0.830816	430.648479	0.006015	7.9
89	-0.596825	429.287101	0.006408	10.6
90	-1.093865	427.937140	0.013837	8.5
91	-1.296423	426.598440	0.013867	7.7
92	-0.681124	425.270849	0.011592	8.6
93	-0.874866	423.954220	0.017666	10.2
94	-0.001120	422.648404	0.000242	8.1
95	-0.830607	421.353259	0.015405	7.8
96	-1.100320	420.068643	0.015738	8.3
